board_id,board_url,style,category,pins_count
714524365819299684,https://www.pinterest.com/Melissa_mielrose/office-dresses/dresses/,Formal/Business Casual,one_piece,935
714524365819299684,https://www.pinterest.com/canvasstyling/womens-business-casual-accessories/,Formal/Business Casual,accessory,19
1127448156655230874,https://www.pinterest.com/Calli_rug/shop-women-accessories-fashion/,Formal/Business Casual,accessory,13
,https://www.pinterest.com/jubsizw/tops-old-money/,old money/Rich,top,75
,https://www.pinterest.com/jackieju23/old-money-tops/,old money/Rich,top,100
,https://www.pinterest.com/faby_fashion_insta/elegant-tops-for-women/,old money/Rich,top,10
,https://www.pinterest.com/sarahbrwn2532/elegant-tops/,old money/Rich,top,35
,https://www.pinterest.com/jackieju23/old-money-bottoms/,old money/Rich,bottom,100
,https://www.pinterest.com/LanaDelReys1stSon/old-money-shoes/,old money/Rich,shoe,99
,https://www.pinterest.com/silentrichwomen/shoes-old-money-quite-luxury/,old money/Rich,shoe,32
,https://www.pinterest.com/hellendayanac6/shoes-old-money/,old money/Rich,shoe,51
,https://www.pinterest.com/spectosample/activewear/,Sporty,top,181
,https://www.pinterest.com/gretaweeks1/athletic-tops/,Sporty,top,14
,https://www.pinterest.com/onitakai/leggings/,Sporty,bottom,381
,https://www.pinterest.com/ReflectionsofMegan/shoes-gym-shoes/,Sporty,shoe,578
,https://www.pinterest.com/officialtamaramoves/fitness-clothes-2025/one-pieces-workout-outfits-2025/,Sporty,one_piece,9
,https://www.pinterest.com/mariacbarbosab/one-pieces/,Sporty,one_piece,66
,https://www.pinterest.com/euphorianfloria/gym-accessories/,Sporty,accessory,31
,https://www.pinterest.com/aiyanhuh/vintage-tops/,Vintage/Cottage Core,top,66
,https://www.pinterest.com/Hana_8888/vintage-tops/,Vintage/Cottage Core,top,30
,https://www.pinterest.com/tabitharaykohler/cute-cottage-core-shirts-and-top/,Vintage/Cottage Core,top,108
,https://www.pinterest.com/voriagh/v-o-r-i-a-g-h-tops-and-blouses/,Vintage/Cottage Core,top,147
,https://www.pinterest.com/voriagh/v-o-r-i-a-g-h-skirts-pants/,Vintage/Cottage Core,bottom,74
,https://www.pinterest.com/threedaysaweekvintage/vintage-trousers-and-skirts/,Vintage/Cottage Core,bottom,133
,https://www.pinterest.com/kmp2023a/cottage-core-shoes/,Vintage/Cottage Core,shoe,10
,https://www.pinterest.com/popo58khan34/cottage-core-shoes/,Vintage/Cottage Core,shoe,34
,https://www.pinterest.com/mariacbarbosab/cottage-core-shoes/,Vintage/Cottage Core,shoe,87
,https://www.pinterest.com/voriagh/v-o-r-i-a-g-h-jackets-pullovers-coats/,Vintage/Cottage Core,outwear,81
,https://www.pinterest.com/voriagh/v-o-r-i-a-g-h-dresses-jumpsuits/,Vintage/Cottage Core,one_piece,328
,https://www.pinterest.com/lydiabug819/cute-clothesshoes/cottage-core/,Vintage/Cottage Core,one_piece,23
,https://www.pinterest.com/voriagh/v-o-r-i-a-g-h-jewelry/,Vintage/Cottage Core,accessory,167
,https://www.pinterest.com/Akyymakino/classy-tops/,Minimal/Clean girl ,top,421
,https://www.pinterest.com/shobhnafabricandmore/classy-bottom-ideas/,Minimal/Clean girl ,bottom,31
,https://www.pinterest.com/kapilkhorana43/classy-outfits-bottoms/,Minimal/Clean girl ,bottom,17
,https://www.pinterest.com/wendonis/classy-skirts/,Minimal/Clean girl ,bottom,14
,https://www.pinterest.com/eunicekobusinge1/classy-skirts/,Minimal/Clean girl ,bottom,73
,https://www.pinterest.com/corporate_curly/shoes-accessories-for-work-corporate-curly/,Minimal/Clean girl ,shoe,123
,https://www.pinterest.com/bradshawsshoes/corporate-girly-shoes/,Minimal/Clean girl ,shoe,192
,https://www.pinterest.com/Dr__Style/classy-coat-outfits/,Minimal/Clean girl ,outwear,27
,https://www.pinterest.com/caseyj6587/classy-dress/,Minimal/Clean girl ,one_piece,435
,https://www.pinterest.com/shutupsally/classy-accessories/,Minimal/Clean girl ,accessory,98
,https://www.pinterest.com/Lucy_Style_/vintagecoquette-tops/,coquette,top,47
,https://www.pinterest.com/adeleyaah/coquette-top/,coquette,top,110
,https://www.pinterest.com/callmemarilivis/bottom-coquette/,coquette,bottom,45
,https://www.pinterest.com/aurell0115/coquette-shoes-ideas/,coquette,shoe,36
,https://www.pinterest.com/gisespinal/coquette-shoes/,coquette,shoe,79
,,earthy,,
,,academia,,
